voting,models,model_count,exact_match_accuracy,mean_label_accuracy,diabetes_accuracy,hypertension_accuracy,obesity_accuracy,diabetes_f1,hypertension_f1,obesity_f1,overall_f1
hard,svm + naive_bayes + gradient_boosting,3,0.6808510638297872,0.8638297872340425,0.8170212765957446,0.774468085106383,1.0,0.6126126126126126,0.0,1.0,0.5375375375375375
hard,svm + naive_bayes + gradient_boosting + sgd_classifier,4,0.6808510638297872,0.8638297872340425,0.8212765957446808,0.774468085106383,0.9957446808510638,0.6037735849056604,0.0,0.9934640522875817,0.5324125457310807
hard,svm + naive_bayes + logistic_regression + gradient_boosting,4,0.6808510638297872,0.8638297872340425,0.8170212765957446,0.774468085106383,1.0,0.6126126126126126,0.0,1.0,0.5375375375375375
hard,logistic_regression + decision_tree + extra_trees + gradient_boosting,4,0.6808510638297872,0.8624113475177305,0.8212765957446808,0.7659574468085106,1.0,0.5882352941176471,0.09836065573770492,1.0,0.562198649951784
hard,knn + svm + random_forest + naive_bayes + gradient_boosting,5,0.6808510638297872,0.8609929078014185,0.8170212765957446,0.7659574468085106,1.0,0.6055045871559633,0.03508771929824561,1.0,0.546864102151403
hard,knn + svm + random_forest + naive_bayes + logistic_regression + gradient_boosting,6,0.6808510638297872,0.8609929078014185,0.8170212765957446,0.7659574468085106,1.0,0.6055045871559633,0.03508771929824561,1.0,0.546864102151403
hard,knn + gradient_boosting + sgd_classifier,3,0.6808510638297872,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.6271186440677966,0.12903225806451613,0.9934640522875817,0.5832049848066315
hard,knn + logistic_regression + gradient_boosting + sgd_classifier,4,0.6808510638297872,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.6271186440677966,0.12903225806451613,0.9934640522875817,0.5832049848066315
hard,knn + svm + decision_tree + extra_trees + gradient_boosting,5,0.6808510638297872,0.8595744680851064,0.8085106382978723,0.774468085106383,0.9957446808510638,0.5871559633027523,0.07017543859649122,0.9934640522875817,0.5502651513956084
hard,knn + svm + random_forest + gradient_boosting + sgd_classifier,5,0.6808510638297872,0.8595744680851064,0.8085106382978723,0.774468085106383,0.9957446808510638,0.6017699115044248,0.07017543859649122,0.9934640522875817,0.5551364674628326
hard,knn + svm + logistic_regression + decision_tree + extra_trees + gradient_boosting,6,0.6808510638297872,0.8595744680851064,0.8085106382978723,0.774468085106383,0.9957446808510638,0.5871559633027523,0.07017543859649122,0.9934640522875817,0.5502651513956084
hard,knn + svm + naive_bayes + decision_tree + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8595744680851064,0.8127659574468085,0.7702127659574468,0.9957446808510638,0.5925925925925926,0.03571428571428571,0.9934640522875817,0.5405903101981533
hard,knn + svm + random_forest + logistic_regression + gradient_boosting + sgd_classifier,6,0.6808510638297872,0.8595744680851064,0.8085106382978723,0.774468085106383,0.9957446808510638,0.6017699115044248,0.07017543859649122,0.9934640522875817,0.5551364674628326
